Comment,Designator,Footprint,JLCPCB Part #(optional)
100n,"C1, C4, C17, C18, C19, C20, C21",CAP_0402,C1525
22u,"C2, C3",CAP_EEE1EA220WR,C2887274
2.2u,"C5, C6, C16",CAP_0603,C23630
40n,C7,CAP_0805,C502151
100n,C8,CAP_0805,C49678
10u,"C9, C10, C11",CAP_0805,C440198
10p,C12,CAP_0402,C32949
15p,"C13, C14",CAP_0402,C1548
4.7u,C15,CAP_0603,C19666
GREEN,D1,LED_0603_GREEN,C2986059
YELLOW,D2,LED_0603_YELLOW,C72038
SMAJ5.0A,D3,FP-SMA-MFG,C2925443
,D4,DO-214AC-2 (SMA),C8678
RED,D5,LED_0603_RED,C2926776
120R,FB1,FB_0603,C14709
L7986ATR,IC1,SOIC127P600X170-9N,C157370
USB_2.0,J1,USB_2.0,C132563
=VALUE,"J3, J4, J5, J6",JST_PH_CONN,C157926
15uH,L1,FXL0630-150-M,C177243
AO3400A,"Q1, Q3, Q4",FP-SOT23-MFG,C20917
FDC610PZ,Q2,FDC610PZ,C241761
10K,"R1, R7, R9, R11, R12, R13",RES_0402,C25744
1K,"R2, R3, R6",RES_0402,C11702
1K1,R4,RES_0603,C22764
7K5,R5,RES_0603,C23234
0R,R8,RES_0402,C17168
50R,R10,RES_0603,C849792
TS-1088-AR02016,SW1,TS-1088-AR02016,C720477
SK-3296S-01-L1,SW2,SW-SMD_3P-P1.50_L2.7-W6.6,C319020
TPD2E2U06DRLR,U1,FP-DRL0005A-MFG,C1972959
AMS1117-3.3,U2,FP-AMS1117-IPC_C,C6186
"74LVC1G14GW,125",U3,SOT65P212X110-5N,C265125
STM32F411CEU6TR,U4,STM-UFQFPN48_L,C2054095
5K,VR1,TRIM_3362P-1-502LF,C81260
25MHz,X1,XTAL_3225,C9006
