Designator,Mid X,Mid Y,Layer,Rotation
U4,31.8000,29.6500,Top,0
J1,56.7250,31.1500,Top,90
X1,22.1500,24.4000,Top,0
VR1,6.6300,47.2000,Top,90
U3,20.4000,31.4000,Top,90
U2,44.9000,12.4000,Top,270
U1,49.7000,30.8000,Top,180
SW2,56.1134,44.6215,Top,90
SW1,14.4000,32.1241,Top,270
R13,34.6500,18.6500,Top,0
R12,25.6500,18.6500,Top,0
R11,18.0000,21.1250,Top,180
R10,16.7000,19.3750,Top,0
R9,30.1500,18.6500,Top,0
R8,23.9000,28.6500,Top,180
R7,53.1384,44.8965,Top,270
R6,37.9000,20.1500,Top,0
R5,13.1500,50.4500,Top,90
R4,13.1500,47.4500,Top,90
R3,21.9000,34.6500,Top,90
R2,52.6500,18.1500,Top,90
R1,17.6500,32.6500,Top,90
Q4,34.6500,15.6500,Top,270
Q3,25.6500,15.6500,Top,270
Q2,17.3280,15.7140,Top,90
Q1,30.1500,15.6500,Top,270
L1,22.8250,43.9750,Top,0
J6,8.0270,30.9000,Top,270
J5,8.0270,19.4000,Top,270
J4,32.1500,7.8754,Top,0
J3,20.6500,7.8754,Top,0
IC1,22.8680,50.2702,Top,180
FB1,47.5250,25.1000,Top,180
D5,37.9000,21.6500,Top,0
D4,30.0000,43.8000,Top,90
D3,51.5000,25.4000,Top,270
D2,20.2750,34.7000,Top,90
D1,53.4250,20.1500,Top,180
C21,29.2500,34.6000,Top,180
C20,36.9000,32.5000,Top,90
C19,34.9000,24.4500,Top,0
C18,26.6500,28.1500,Top,270
C17,26.6500,31.9000,Top,90
C16,24.9000,32.1000,Top,90
C15,34.1500,22.4000,Top,180
C14,23.9000,27.1500,Top,180
C13,21.6500,27.1500,Top,0
C12,15.4000,48.2000,Top,0
C11,13.6500,42.9000,Top,270
C10,16.7200,42.9000,Top,270
C9,31.8450,49.9250,Top,90
C8,29.0950,49.9250,Top,90
C7,15.4000,51.6000,Top,270
C6,46.5250,27.6000,Top,270
C5,48.5250,27.6000,Top,270
C4,17.6500,30.4000,Top,90
C3,52.4000,12.6500,Top,90
C2,45.4000,20.7000,Top,0
C1,18.1500,34.4000,Top,0
